date,entry
2026-05-17,I struggled to stay motivated
2026-05-10,I felt frustrated and angry today
2026-05-02,I felt stressed and overwhelmed today
2026-06-18,I enjoyed spending time with friends
2026-06-01,I feel trapped in my thoughts
2026-05-16,Feeling emotionally drained after work
2026-06-04,I am losing interest in everything
2026-05-14,Everything feels exhausting lately
2026-05-01,Everything feels exhausting lately
2026-05-27,I feel trapped in my thoughts
2026-05-04,Feeling emotionally drained after work
2026-05-28,I feel hopeless and emotionally broken
2026-05-31,I am losing interest in everything
2026-06-02,I feel disconnected from everyone
2026-06-13,Today was an average day
2026-06-14,The day was neither good nor bad
2026-06-08,I completed my regular routine
2026-05-26,I feel isolated and emotionally weak
2026-05-08,I struggled to stay motivated
2026-06-05,I completed my regular routine
2026-06-17,I felt motivated and optimistic
2026-06-15,I enjoyed learning something new
2026-05-20,I struggled to stay motivated
2026-06-12,I spent time doing household work
2026-05-21,Feeling emotionally drained after work
2026-05-29,I feel disconnected from everyone
2026-05-23,I am worried about my future
2026-05-09,Everything feels exhausting lately
2026-05-22,I struggled to stay motivated
2026-06-07,I had a normal conversation today
2026-05-12,I felt stressed and overwhelmed today
2026-06-03,I do not feel emotionally safe
2026-05-11,I am worried about my future
2026-06-16,I enjoyed spending time with friends
2026-05-30,I feel emotionally numb lately
2026-05-18,I felt frustrated and angry today
2026-05-25,I felt mentally tired all day
2026-05-07,Everything feels exhausting lately
2026-06-11,I followed my usual schedule
2026-05-06,I could not focus because of anxiety
2026-06-19,I enjoyed learning something new
2026-05-15,Feeling emotionally drained after work
2026-05-03,I argued with someone and feel upset
2026-05-05,Feeling emotionally drained after work
2026-05-13,I felt stressed and overwhelmed today
2026-06-06,I completed my regular routine
2026-05-24,Feeling emotionally drained after work
2026-06-09,I watched videos and relaxed
2026-06-10,I watched videos and relaxed
2026-05-19,I felt stressed and overwhelmed today
